"恳求文"                                                                                                                                                                                                                                                  ,"heading"
"主啊，求祢起来帮助我们；"                                                                                                                                                                                                                                ,"leader"      ,"hangingIdent",true
"为祢名的缘故拯救我们。"                                                                                                                                                                                                                                  ,"congregation","indent"
"上帝啊，祢在古时为我们列祖所行的大事，我们亲耳听见，我们的祖先也向我们述说过。"                                                                                                                                                                            ,"congregation","indent"
"主啊，求祢起来帮助我们；"                                                                                                                                                                                                                                ,"leader"      ,"hangingIdent",true
"为祢名的缘故拯救我们。"                                                                                                                                                                                                                                  ,"congregation","indent"
"荣耀归于圣父、圣子和圣灵；起初如此，现今如此，以后也如此，永无穷尽。阿们。"                                                                                                                                                                              ,"congregation","indent"
"主啊，求祢起来帮助我们；"                                                                                                                                                                                                                                ,"leader"      ,"hangingIdent",true
"为祢名的缘故拯救我们。"                                                                                                                                                                                                                                  ,"congregation","indent"
"基督啊，求祢保护我们脱离仇敌；"                                                                                                                                                                                                                          ,"leader"      ,"hangingIdent",true
"求祢施恩眷顾我们的苦难。"                                                                                                                                                                                                                                ,"congregation","indent"
"求祢以怜悯看顾我们心中的忧伤；"                                                                                                                                                                                                                          ,"leader"      ,"hangingIdent",true
"求祢赦免祢子民的罪孽。"                                                                                                                                                                                                                                  ,"congregation","indent"
"求祢施恩垂听我们的祷告；"                                                                                                                                                                                                                                ,"leader"      ,"hangingIdent",true
"大卫之子啊，求祢怜悯我们。"                                                                                                                                                                                                                              ,"congregation","indent"
"基督啊，求祢垂听我们；"                                                                                                                                                                                                                                  ,"leader"      ,"hangingIdent",true
"基督啊，求祢施恩垂听我们；主基督啊，求祢施恩垂听我们。"                                                                                                                                                                                                  ,"congregation","indent"
"主礼祷告"                                                                                                                                                                                                                                                ,"rubric"
"我们祈祷。"                                                                                                                                                                                                                                              ,"congregation","hangingIndent"
"慈悲的天父啊，求祢怜悯我们的软弱；为祢圣名的荣耀，拯救我们脱离一切现在所受的苦难；在一切患难中，使我们全心信靠祢的慈悲，以圣洁纯全的生活事奉祢，使祢的名得荣耀；靠我们唯一的中保和代言者耶稣基督我们的主。阿们。","leader",""
